MMSI;VesselName;IMO;CallSign;VesselType;Status;Length;Width;Draft;Cargo;TransceiverClass;BaseDateTime
0;<Unknown>;<Unknown>;<Unknown>;0.0;15.0;14.0;4.0;0.0;0.0;A;01/12/2023 00:00
1;A;IMO0999999;A;60.0;15.0;88.0;18.0;0.0;0.0;A;27/12/2023 22:55
9;SPA;IMO0007788;100200;1.0;15.0;0.0;0.0;1.0;0.0;A;20/12/2023 16:43
11;CONSTITUTION;IMO0000007;GC 680;90.0;5.0;53.0;38.0;0.0;90.0;A;03/12/2023 17:33
111;BOOMVANG;IMO0000001;EB643;90.0;5.0;47.0;35.0;0.0;90.0;A;02/12/2023 13:51
3654;<Unknown>;<Unknown>;<Unknown>;0.0;15.0;0.0;0.0;0.0;0.0;A;01/12/2023 14:49
4061;BOOSTER 9000;IMO0000000;0;33.0;;0.0;0.0;;;B;03/12/2023 10:37
366615;US NAVAL VESSAL-----;<Unknown>;-------;0.0;15.0;0.0;0.0;0.0;0.0;A;13/12/2023 13:54
367197;US GOVT VESSEL;<Unknown>;<Unknown>;0.0;15.0;150.0;20.0;0.0;0.0;A;01/12/2023 01:05
368926;US GOVT VESSEL;IMO0004371;<Unknown>;35.0;0.0;128.0;32.0;0.0;35.0;A;01/12/2023 20:22
1056261;CHAMPAGNE CHER;IMO1056261;WDC6418;10.0;0.0;35.0;8.0;2.5;10.0;A;04/12/2023 08:08
1170810;<Unknown>;<Unknown>;<Unknown>;;1.0;;;;;A;12/12/2023 12:52
1183150;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;11/12/2023 18:03
1234567;LRYY137.... 06;IMO0000000;BO12345;0.0;;91.0;0.0;;;B;17/12/2023 02:39
3381234;ZEEPAARD;IMO0000000;BO12345;36.0;;0.0;0.0;;;B;01/12/2023 17:47
3660489;NEPTUNE TLP;<Unknown>;WQGV318;90.0;5.0;;;;99.0;A;01/12/2023 02:04
3669883;<Unknown>;<Unknown>;<Unknown>;0.0;15.0;0.0;0.0;0.0;0.0;A;10/12/2023 06:14
3669884;<Unknown>;<Unknown>;<Unknown>;0.0;15.0;0.0;0.0;0.0;0.0;A;01/12/2023 00:00
3791472;LUCIUS SPAR;IMO1108561;WQXP40;80.0;15.0;0.0;0.0;0.0;80.0;A;03/12/2023 05:00
4556531;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 00:05
4556533;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 02:12
4556540;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 07:20
4558964;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;04/12/2023 09:17
4558984;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;04/12/2023 08:31
4558988;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;09/12/2023 00:29
4566543;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;03/12/2023 00:10
4566545;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 00:07
4566548;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 00:10
7751005;<Unknown>;<Unknown>;<Unknown>;0.0;15.0;0.0;0.0;0.0;0.0;A;10/12/2023 19:37
9108431;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;02/12/2023 01:39
9110192;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 00:00
9116318;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;17/12/2023 22:34
19421219;SHELLFISH;IMO0000000;<Unknown>;37.0;;0.0;0.0;;;B;16/12/2023 18:35
20047858;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;18/12/2023 19:14
31456312;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;23/12/2023 09:05
31568250;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;15/12/2023 09:00
31832050;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;11/12/2023 07:45
31971000;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;08/12/2023 10:55
31983938;<Unknown>;<Unknown>;<Unknown>;;4.0;;;;;A;01/12/2023 16:24
32027130;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;17/12/2023 04:40
32149942;<Unknown>;<Unknown>;<Unknown>;;12.0;;;;;A;13/12/2023 05:26
32553200;<Unknown>;<Unknown>;<Unknown>;;12.0;;;;;A;03/12/2023 10:12
32640590;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;21/12/2023 01:57
32699713;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;25/12/2023 02:42
32893668;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;21/12/2023 18:09
36926403;PCU MARINETTE;<Unknown>;NMNE;35.0;5.0;0.0;0.0;0.0;35.0;A;01/12/2023 00:02
36967840;<Unknown>;<Unknown>;<Unknown>;;8.0;;;;;A;20/12/2023 23:18
36968098;CDN WARSHIP 341;<Unknown>;<Unknown>;0.0;0.0;0.0;0.0;0.0;0.0;A;05/12/2023 12:44
51122776;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;16/12/2023 17:26
59039617;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 01:34
69031298;<Unknown>;<Unknown>;<Unknown>;;1.0;;;;;A;27/12/2023 10:35
83313928;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;26/12/2023 04:08
91800047;ONWA33NT 100%;IMO0000000;100%;30.0;;10.0;5.0;;;B;01/12/2023 18:32
91800058;ONWA33NT 98%;IMO0000000;98%;30.0;;10.0;5.0;;;B;01/12/2023 18:20
91800425;ONWA33NT;IMO0000000;100%;30.0;;10.0;5.0;;;B;03/12/2023 15:40
91800534;ONWA33NT;IMO0000000;100%;30.0;;10.0;5.0;;;B;03/12/2023 12:33
91800819;ONWA33NT;IMO0000000;100%;30.0;;10.0;5.0;;;B;02/12/2023 11:51
91800833;ONWA33NT;IMO0000000;100%;30.0;;10.0;5.0;;;B;03/12/2023 17:37
91801063;ONWA33NT;IMO0000000;100%;30.0;;10.0;5.0;;;B;04/12/2023 11:18
98519438;<Unknown>;<Unknown>;<Unknown>;;11.0;;;;;A;01/12/2023 15:40
98751952;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;30/12/2023 17:47
99332252;<Unknown>;<Unknown>;<Unknown>;;15.0;;;;;A;17/12/2023 05:02
99351198;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;14/12/2023 04:32
99387541;<Unknown>;<Unknown>;<Unknown>;;1.0;;;;;A;31/12/2023 09:03
99793980;<Unknown>;<Unknown>;<Unknown>;;12.0;;;;;A;23/12/2023 06:14
100000000;LPI 088;IMO0000000;<Unknown>;30.0;;0.0;0.0;4.0;55.0;B;09/12/2023 20:47
100000001;TARA LEE;<Unknown>;AAAAAAA;99.0;15.0;6.0;14.0;0.0;99.0;A;06/12/2023 05:35
100191900;<Unknown>;<Unknown>;<Unknown>;;13.0;;;;;A;15/12/2023 17:09
103669999;MILADY;IMO0000000;<Unknown>;37.0;;17.0;5.0;;;B;01/12/2023 00:05
107000808;107000808;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;13/12/2023 00:29
107000815;107000815;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;13/12/2023 02:59
107000817;107000817;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;16/12/2023 08:36
107040242;107040242;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;13/12/2023 01:35
107040244;107040244;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;13/12/2023 04:34
